# ----------------------------------------,
# Bike MS - Luminate Pages,
# Audience Overview,
# 20160401-20171214,
# ----------------------------------------,
,
Day Index,Sessions
4/1/2016,0
4/2/2016,0
4/3/2016,0
4/4/2016,0
4/5/2016,0
4/6/2016,0
4/7/2016,0
4/8/2016,"32,205"
4/9/2016,"23,973"
4/10/2016,"23,762"
4/11/2016,"25,500"
4/12/2016,"33,377"
4/13/2016,"38,175"
4/14/2016,"38,181"
4/15/2016,"60,450"
4/16/2016,"32,767"
4/17/2016,"24,507"
4/18/2016,"26,892"
4/19/2016,"24,951"
4/20/2016,"24,888"
4/21/2016,"24,575"
4/22/2016,"22,750"
4/23/2016,"17,650"
4/24/2016,"15,741"
4/25/2016,"23,968"
4/26/2016,"23,130"
4/27/2016,"22,393"
4/28/2016,"19,599"
4/29/2016,"23,181"
4/30/2016,"16,333"
5/1/2016,"17,200"
5/2/2016,"23,749"
5/3/2016,"21,219"
5/4/2016,"24,535"
5/5/2016,"20,545"
5/6/2016,"18,727"
5/7/2016,"13,876"
5/8/2016,"13,491"
5/9/2016,"21,825"
5/10/2016,"21,625"
5/11/2016,"21,662"
5/12/2016,"19,583"
5/13/2016,"17,945"
5/14/2016,"12,257"
5/15/2016,"14,591"
5/16/2016,"23,161"
5/17/2016,"23,610"
5/18/2016,"23,142"
5/19/2016,"22,417"
5/20/2016,"20,940"
5/21/2016,"15,401"
5/22/2016,"15,714"
5/23/2016,"23,889"
5/24/2016,"21,778"
5/25/2016,"23,858"
5/26/2016,"21,444"
5/27/2016,"17,195"
5/28/2016,"12,234"
5/29/2016,"11,895"
5/30/2016,"15,936"
5/31/2016,"28,270"
6/1/2016,"30,119"
6/2/2016,"28,217"
6/3/2016,"26,266"
6/4/2016,"19,176"
6/5/2016,"21,060"
6/6/2016,"30,476"
6/7/2016,"29,504"
6/8/2016,"29,276"
6/9/2016,"30,825"
6/10/2016,"27,994"
6/11/2016,"17,766"
6/12/2016,"18,538"
6/13/2016,"26,745"
6/14/2016,"24,043"
6/15/2016,"22,366"
6/16/2016,"21,026"
6/17/2016,"18,547"
6/18/2016,"12,860"
6/19/2016,"13,190"
6/20/2016,"25,691"
6/21/2016,"26,957"
6/22/2016,"27,143"
6/23/2016,"27,273"
6/24/2016,"29,828"
6/25/2016,"19,105"
6/26/2016,"15,740"
6/27/2016,"20,642"
6/28/2016,"17,709"
6/29/2016,"16,269"
6/30/2016,"15,158"
7/1/2016,"13,469"
7/2/2016,"9,622"
7/3/2016,"9,341"
7/4/2016,"11,653"
7/5/2016,"18,226"
7/6/2016,"18,457"
7/7/2016,"17,056"
7/8/2016,"14,552"
7/9/2016,"11,251"
7/10/2016,"12,342"
7/11/2016,"18,961"
7/12/2016,"18,633"
7/13/2016,"18,214"
7/14/2016,"16,994"
7/15/2016,"17,322"
7/16/2016,"12,617"
7/17/2016,"14,415"
7/18/2016,"22,117"
7/19/2016,"22,582"
7/20/2016,"21,200"
7/21/2016,"19,645"
7/22/2016,"18,966"
7/23/2016,"14,337"
7/24/2016,"15,089"
