# ----------------------------------------,,,,,,,,
# Bike MS - Luminate Pages,,,,,,,,
# Goal Funnel,,,,,,,,
# 20160401-20171214,,,,,,,,
# ----------------------------------------,,,,,,,,
,,,,,,,,
Day Index,Bike Registrations - Individual with Payment (Goal 1 Conversion Rate),,,,,,,
4/1/2016,0.00%,,,,,,,
4/2/2016,0.00%,,,,,,,
4/3/2016,0.00%,,,,,,,
4/4/2016,0.00%,,,,,,,
4/5/2016,0.00%,,,,,,,
4/6/2016,0.00%,,,,,,,
4/7/2016,0.00%,,,,,,,
4/8/2016,0.62%,,,,,,,
4/9/2016,0.39%,,,,,,,
4/10/2016,0.49%,,,,,,,
4/11/2016,1.02%,,,,,,,
4/12/2016,0.71%,,,,,,,
4/13/2016,0.88%,,,,,,,
4/14/2016,0.64%,,,,,,,
4/15/2016,0.42%,,,,,,,
4/16/2016,0.19%,,,,,,,
4/17/2016,0.32%,,,,,,,
4/18/2016,0.56%,,,,,,,
4/19/2016,0.61%,,,,,,,
4/20/2016,0.68%,,,,,,,
4/21/2016,0.52%,,,,,,,
4/22/2016,0.51%,,,,,,,
4/23/2016,0.31%,,,,,,,
4/24/2016,0.54%,,,,,,,
4/25/2016,0.88%,,,,,,,
4/26/2016,0.86%,,,,,,,
4/27/2016,0.70%,,,,,,,
4/28/2016,0.83%,,,,,,,
4/29/2016,1.16%,,,,,,,
4/30/2016,0.91%,,,,,,,
5/1/2016,0.58%,,,,,,,
5/2/2016,0.88%,,,,,,,
5/3/2016,0.79%,,,,,,,
5/4/2016,0.73%,,,,,,,
5/5/2016,0.92%,,,,,,,
5/6/2016,0.72%,,,,,,,
5/7/2016,0.49%,,,,,,,
5/8/2016,0.62%,,,,,,,
5/9/2016,0.95%,,,,,,,
5/10/2016,0.68%,,,,,,,
5/11/2016,0.66%,,,,,,,
5/12/2016,0.60%,,,,,,,
5/13/2016,0.76%,,,,,,,
5/14/2016,0.42%,,,,,,,
5/15/2016,0.51%,,,,,,,
5/16/2016,0.86%,,,,,,,
5/17/2016,0.67%,,,,,,,
5/18/2016,0.80%,,,,,,,
5/19/2016,0.65%,,,,,,,
5/20/2016,0.77%,,,,,,,
5/21/2016,0.52%,,,,,,,
5/22/2016,0.53%,,,,,,,
5/23/2016,0.57%,,,,,,,
5/24/2016,0.76%,,,,,,,
5/25/2016,0.84%,,,,,,,
5/26/2016,0.91%,,,,,,,
5/27/2016,0.88%,,,,,,,
5/28/2016,0.47%,,,,,,,
5/29/2016,0.50%,,,,,,,
5/30/2016,0.71%,,,,,,,
5/31/2016,1.46%,,,,,,,
6/1/2016,0.54%,,,,,,,
6/2/2016,0.40%,,,,,,,
6/3/2016,0.40%,,,,,,,
6/4/2016,0.28%,,,,,,,
6/5/2016,0.37%,,,,,,,
6/6/2016,0.51%,,,,,,,
6/7/2016,0.40%,,,,,,,
6/8/2016,0.37%,,,,,,,
6/9/2016,0.45%,,,,,,,
6/10/2016,0.41%,,,,,,,
6/11/2016,0.26%,,,,,,,
6/12/2016,0.29%,,,,,,,
6/13/2016,0.57%,,,,,,,
6/14/2016,0.60%,,,,,,,
6/15/2016,0.91%,,,,,,,
6/16/2016,0.60%,,,,,,,
6/17/2016,0.75%,,,,,,,
6/18/2016,0.47%,,,,,,,
6/19/2016,0.51%,,,,,,,
6/20/2016,0.75%,,,,,,,
6/21/2016,0.54%,,,,,,,
6/22/2016,0.67%,,,,,,,
6/23/2016,0.55%,,,,,,,
6/24/2016,0.37%,,,,,,,
6/25/2016,0.28%,,,,,,,
6/26/2016,0.44%,,,,,,,
6/27/2016,0.96%,,,,,,,
6/28/2016,1.01%,,,,,,,
6/29/2016,1.21%,,,,,,,
6/30/2016,1.59%,,,,,,,
7/1/2016,1.15%,,,,,,,
7/2/2016,0.56%,,,,,,,
7/3/2016,0.71%,,,,,,,
7/4/2016,0.92%,,,,,,,
7/5/2016,0.92%,,,,,,,
7/6/2016,0.81%,,,,,,,
7/7/2016,0.77%,,,,,,,
7/8/2016,0.79%,,,,,,,
7/9/2016,0.48%,,,,,,,
7/10/2016,0.51%,,,,,,,
7/11/2016,0.78%,,,,,,,
7/12/2016,0.78%,,,,,,,
7/13/2016,0.85%,,,,,,,
7/14/2016,0.85%,,,,,,,
7/15/2016,0.69%,,,,,,,
7/16/2016,0.44%,,,,,,,
7/17/2016,0.47%,,,,,,,
7/18/2016,0.68%,,,,,,,
7/19/2016,0.64%,,,,,,,
7/20/2016,0.66%,,,,,,,
7/21/2016,0.78%,,,,,,,
